px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.2149	23.9556	2.62781	0.276978	0.00492948	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	44353.1
68.2629	24.3599	2.56837	0.206432	-0.0427877	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	5083.08
68.3499	24.3913	2.67616	0.213205	-0.0385446	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	47875.7
70.8196	24.8814	3.12428	0.226057	-0.0056053	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	5618.47
70.779	24.8653	2.50126	0.215256	-0.0391523	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	50513.1
72.8915	24.7195	2.51931	-0.151851	-0.244682	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	6028.59
72.9408	24.7362	2.53768	-0.152793	-0.254478	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	53741
75	25.2461	2.2312	0.33223	0.204537	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	7469.59
74.9858	25.2433	2.16881	0.329662	0.203937	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	56722.5
77.1136	24.9471	2.31151	-0.38569	-0.368323	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	6530.62
77.1371	24.9529	2.2675	-0.409644	-0.401394	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	59107.9
79.0987	25.0163	1.84745	0.0810981	0.168247	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	8008.89
79.112	25.0179	1.89222	0.089218	0.17694	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	62537.8
80.8043	24.875	2.07258	-0.0328571	-0.00852727	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	9227.67
80.8491	24.8817	1.81195	-0.0794421	-0.0902369	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	65363.1
82.6108	24.6371	2.36603	-0.0960687	-0.0431871	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	10524.1
82.5671	24.6201	1.97364	-0.202834	-0.229287	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	68180.4
84.1686	24.5419	2.00046	-0.00892487	0.0258811	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	10162
84.1591	24.5454	1.80777	-0.0353347	-0.032302	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	70524
85.6382	23.8184	1.89865	-0.530202	-0.312543	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	10911.2
85.6957	23.8336	1.98905	-0.515268	-0.305567	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	72501.7
86.945	23.5103	1.23545	-0.290873	0.00840601	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	11033.2
87.0664	23.5437	1.37514	-0.229739	0.044943	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	75113.3
88.8017	22.7944	2.62268	-0.432187	-0.105358	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	14390.2
88.7125	22.7515	2.34184	-0.681864	-0.427184	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	76869.8
89.514	22.2806	0.406689	-0.722485	-0.219835	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	9507.43
89.6247	22.2534	0.953281	-0.633656	-0.0641766	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	77319.5
90.4974	21.6627	1.46582	-0.451292	0.0911919	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	22719.4
90.5667	21.6788	1.49424	-0.40939	0.0821921	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	81712.2
91.7127	21.1137	1.69107	-0.24872	0.127247	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	15609.5
91.7401	21.1275	1.46611	-0.40485	-0.114014	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	82800.8
92.8539	20.9422	1.41415	-0.0745185	0.14951	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	14587
92.9019	20.9702	1.17559	-0.0400631	0.107703	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	84489.3
93.4827	20.2447	0.528411	-0.766413	-0.385894	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	14325.1
93.5816	20.2864	1.03732	-0.566787	-0.137109	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	84271.1
95.2748	19.6466	2.81479	0.104495	0.335686	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	19536.3
95.0318	19.6564	1.57114	-0.00112774	0.188281	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	85626.7
95.5211	19.701	0.622243	0.217368	0.204336	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	12134
95.5412	19.7037	0.803765	0.217157	0.205854	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	86434.4
96.2524	19.2163	0.738083	-0.843662	-0.526095	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	13019.4
96.3069	19.2531	1.03487	-0.630246	-0.31269	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	87260.9
97.4942	18.7131	1.97909	-0.210348	0.102322	97.5286	18.727	97.45	18.506	0.868716	-0.503009	21399.4
97.4034	18.7139	1.55101	-0.401706	-0.197405	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	92604.5
98.2148	18.3667	1.10562	-0.339231	-0.0557468	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	13883
98.2319	18.3747	1.03673	-0.36423	-0.103039	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	92005.7
99.0381	17.3797	1.51451	-1.12138	-0.481376	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	19152.5
99.0498	17.4208	1.48868	-0.759065	-0.0460404	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	92152.7
99.9824	16.9641	0.98691	-0.410489	0.190363	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	27839.5
100.063	16.9781	1.04353	-0.351216	0.220663	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	95313.4
101.191	16.5371	1.6992	-0.138973	0.214474	101.204	16.5368	101.065	16.497	0.991362	-0.513687	21930
101.14	16.5264	1.33918	-0.279542	0.0460254	101.169	16.4353	101.065	16.497	0.991362	-0.513687	97662.1
102.375	16.3916	1.76911	0.102639	0.235643	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	16716.5
102.27	16.3842	1.23641	0.091592	0.216669	102.081	15.8359	102.063	15.9949	1.04911	-0.512803	97651.9
103.012	15.3988	0.637459	-1.12115	-0.613848	103.003	15.353	103.119	15.4967	1.11708	-0.508169	13598.2
102.983	15.463	1.20601	-0.613182	-0.00456554	102.776	15.1195	103.119	15.4967	1.11708	-0.508169	96868
104.092	15.2495	1.43983	0.0991847	0.415629	104.114	15.2708	104.244	15.0064	1.19469	-0.498349	21448.3
104.039	15.2441	1.31553	0.060942	0.393178	103.905	14.7607	104.244	15.0064	1.19469	-0.498349	100156
105.53	14.4758	1.81865	-0.829124	-0.353238	105.541	14.4412	105.447	14.5293	1.28111	-0.481861	14232.3
105.48	14.4793	1.8424	-0.744229	-0.251562	105.316	14.0026	105.447	14.5293	1.28111	-0.481861	101326
